"state","rows","suppressed_rows","missing_or_suppressed_rows","suppression_share"
"District of Columbia",400,400,400,1
"Wyoming",364,364,364,1
"Alaska",362,362,362,1
"Vermont",396,394,394,0.994949494949495
"Delaware",413,406,406,0.983050847457627
"South Dakota",415,391,391,0.942168674698795
"Montana",414,389,389,0.939613526570048
"North Dakota",413,388,388,0.939467312348668
"Rhode Island",415,387,387,0.932530120481928
"Hawaii",417,369,369,0.884892086330935
"New Mexico",418,333,333,0.796650717703349
"Maine",417,332,332,0.796163069544365
"Idaho",417,327,327,0.784172661870504
"New Hampshire",417,322,322,0.772182254196643
"Utah",418,211,211,0.504784688995215
"Nevada",418,187,187,0.447368421052632
"Nebraska",418,130,130,0.311004784688995
"West Virginia",418,96,96,0.229665071770335
"Kansas",418,61,61,0.145933014354067
"Mississippi",418,59,59,0.141148325358852
"Connecticut",418,48,48,0.114832535885167
"Arkansas",418,34,34,0.0813397129186603
"Louisiana",418,15,15,0.0358851674641148
"Iowa",418,11,11,0.0263157894736842
"Alabama",418,8,8,0.0191387559808612
"Arizona",418,2,2,0.00478468899521531
"Oregon",418,1,1,0.00239234449760766
"California",418,0,0,0
"Colorado",418,0,0,0
"Florida",418,0,0,0
"Georgia",418,0,0,0
"Illinois",418,0,0,0
"Indiana",418,0,0,0
"Kentucky",418,0,0,0
"Maryland",418,0,0,0
"Massachusetts",418,0,0,0
"Michigan",418,0,0,0
"Minnesota",418,0,0,0
"Missouri",418,0,0,0
"New Jersey",418,0,0,0
"New York",418,0,0,0
"North Carolina",418,0,0,0
"Ohio",418,0,0,0
"Oklahoma",418,0,0,0
"Pennsylvania",418,0,0,0
"South Carolina",418,0,0,0
"Tennessee",418,0,0,0
"Texas",418,0,0,0
"Virginia",418,0,0,0
"Washington",418,0,0,0
"Wisconsin",418,0,0,0
