"state","cluster"
"Alabama","cluster_1"
"Arizona","cluster_1"
"Arkansas","cluster_2"
"California","cluster_2"
"Colorado","cluster_3"
"Connecticut","cluster_3"
"Florida","cluster_1"
"Georgia","cluster_2"
"Illinois","cluster_4"
"Indiana","cluster_4"
"Iowa","cluster_4"
"Kansas","cluster_4"
"Kentucky","cluster_4"
"Louisiana","cluster_1"
"Maryland","cluster_2"
"Massachusetts","cluster_3"
"Michigan","cluster_3"
"Minnesota","cluster_4"
"Mississippi","cluster_1"
"Missouri","cluster_4"
"Nebraska","cluster_4"
"Nevada","cluster_3"
"New Jersey","cluster_2"
"New Mexico","cluster_3"
"New York","cluster_3"
"North Carolina","cluster_2"
"Ohio","cluster_4"
"Oklahoma","cluster_2"
"Oregon","cluster_3"
"Pennsylvania","cluster_2"
"South Carolina","cluster_2"
"Tennessee","cluster_2"
"Texas","cluster_1"
"Utah","cluster_3"
"Virginia","cluster_2"
"Washington","cluster_3"
"West Virginia","cluster_4"
"Wisconsin","cluster_4"
